text,modality,is_scam,severity,clean_text
TRAI verification pending. Confirm details by calling +91-98728-31517.,sms,1,3,trai verification pending. confirm details by calling +91- OTP - OTP .
Address incomplete. Reschedule delivery: https://rebrand.ly/GdfOiZ6 Jaldi karo.,sms,1,3,address incomplete. reschedule delivery: URL jaldi karo.
PhonePe Security: Malware detected. Install Remote Assist from https://cybercrime-case.in/rlgzusgnux for cleanup.,sms,1,4,phonepe security: malware detected. install remote assist from URL for cleanup.
Pre-approved loan ₹9900. Activate by paying processing ₹199 at https://tinyurl.com/eL2ZL5L,sms,1,3,pre-approved loan ₹ OTP . activate by paying processing ₹199 at URL
"Hi, I’ll reach by 7:00 PM. See you soon.",sms,0,1,"hi, i’ll reach by 7:00 pm. see you soon."
Device warranty expiring today. Verify at Jaldi karo.,sms,1,3,device warranty expiring today. verify at jaldi karo.
URGENT: Jio password change hua. Agar aapne nahi kiya to reset: https://amazon.in/32tr8hd851,sms,0,1,urgent: jio password change hua. agar aapne nahi kiya to reset: URL
Apple Security: Malware detected. Install QuickSupport from https://verify-now.co/nwfcot79ky for cleanup.,sms,1,4,apple security: malware detected. install quicksupport from URL for cleanup.
BESCOM: Bill overdue ₹7500. Power cut in 2 hours. Pay at https://bit.ly/effIp1B Jaldi karo.,sms,1,4,bescom: bill overdue ₹ OTP . power cut in 2 hours. pay at URL jaldi karo.
"OLX: Buyer sent payment. To receive ₹50000, share OTP.",sms,1,4,"olx: buyer sent payment. to receive ₹ OTP , share otp."
Address incomplete. Reschedule delivery: https://t.co/8Kjuhfj,sms,1,3,address incomplete. reschedule delivery: URL
KYC update required. Share PAN/Aadhaar photo on WhatsApp number +91-87823-43618. Jaldi karo.,sms,1,4,kyc update required. share pan/aadhaar photo on whatsapp number +91- OTP - OTP . jaldi karo.
Prize release requires processing fee ₹99. Pay via UPI lkjxcu@ibl.,sms,1,4,prize release requires processing fee ₹99. pay via upi lkjxcu@ibl.
HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-85788-12996,sms,1,3,hr: selected. share aadhaar/pan for verification. whatsapp +91- OTP - OTP
"Dear customer, your card will be blocked today. Verify details at https://rebrand.ly/CqmeGMJ",sms,1,4,"dear customer, your card will be blocked today. verify details at URL"
Earn ₹200000/day. Join VIP group using https://bit.ly/kOSwD7D,sms,1,3,earn ₹ OTP /day. join vip group using URL
Refund pending. Confirm bank details at https://gpay-help.in/9g1m143k0d,sms,1,3,refund pending. confirm bank details at URL
"Dear customer, your card will be blocked today. Verify details at https://cutt.ly/I7f8PVU",sms,1,4,"dear customer, your card will be blocked today. verify details at URL"
BESCOM: Bill ₹100000 due 20-Dec. Official app ya https://airtel.in/eaqfvhb18n se pay karo.,sms,0,1,bescom: bill ₹ OTP due 20-dec. official app ya URL se pay karo.
Pre-approved loan ₹199. Activate by paying processing ₹499 at https://tinyurl.com/akCIjEl,sms,1,3,pre-approved loan ₹199. activate by paying processing ₹499 at URL
BESCOM: Bill of ₹5000 due on 15-Jun. Pay via official app or https://icicibank.com/shzssaj386,sms,0,1,bescom: bill of ₹ OTP due on 15-jun. pay via official app or URL
Congrats! You won ₹999 in Mega Bumper Draw. Claim: Call +91-95302-36343 Ref Y0JL23.,sms,1,3,congrats! you won ₹999 in mega bumper draw. claim: call +91- OTP - OTP ref y0jl23.
Delhivery: Delivery attempt failed. Reschedule at https://cutt.ly/X1nVtFv,sms,0,1,delhivery: delivery attempt failed. reschedule at URL
Your email hacked. Call technician +91-62430-09408 now.,sms,1,3,your email hacked. call technician +91- OTP - OTP now.
Work-from-home job ₹349/month. Pay training fee ₹999. Details:,sms,1,3,work-from-home job ₹349/month. pay training fee ₹999. details:
HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-64705-05638,sms,1,3,hr: selected. share aadhaar/pan for verification. whatsapp +91- OTP - OTP
Court notice: Settlement required today. Call karo +91-86854-63467 abhi.,sms,1,5,court notice: settlement required today. call karo +91- OTP - OTP abhi.
It's me. Network issue. Please transfer now. nmejlq@ibl,sms,1,4,it's me. network issue. please transfer now. nmejlq@ibl
Delhivery: Parcel held at customs. Pay clearance ₹499 at https://secure-kyc-update.in/r7bio32jqw within 30 minutes.,sms,1,4,delhivery: parcel held at customs. pay clearance ₹499 at URL within 30 minutes.
This is TRAI. FIR filing in process. Verify identity at https://pay-safe.link/a9yncyn7pc within 2 hours.,sms,1,5,this is trai. fir filing in process. verify identity at URL within 2 hours.
Court notice: Settlement required today. Call karo +91-79829-88364 abhi. Jaldi karo.,sms,1,5,court notice: settlement required today. call karo +91- OTP - OTP abhi. jaldi karo.
Device warranty expiring today. Verify at https://t.co/Gp7mOAb,sms,1,3,device warranty expiring today. verify at URL
ALERT: Axis KYC pending. Update now to avoid account freeze: https://verify-now.co/2cakxgydfx,sms,1,4,alert: axis kyc pending. update now to avoid account freeze: URL
Address incomplete. Reschedule delivery:,sms,1,3,address incomplete. reschedule delivery:
TRAI verification pending. Confirm details by calling +91-62537-75981.,sms,1,3,trai verification pending. confirm details by calling +91- OTP - OTP .
Device warranty expiring today. Verify at https://rebrand.ly/WPjWyDN,sms,1,3,device warranty expiring today. verify at URL
You are under 'digital arrest'. Stay on line and transfer ₹1500 to verify innocence.,sms,1,5,you are under 'digital arrest'. stay on line and transfer ₹ OTP to verify innocence.
Blue Dart: Delivery attempt failed. Reschedule at https://rebrand.ly/1ZvdUq3,sms,0,1,blue dart: delivery attempt failed. reschedule at URL
Instant loan. Confirm OTP to proceed.,sms,1,4,instant loan. confirm otp to proceed.
Reminder: Appointment with Dr. Mehta on 03-Nov at 7:00 PM.,sms,0,1,reminder: appointment with dr. mehta on 03-nov at 7:00 pm.
Vi: SIM will be deactivated today due to KYC pending. Update: https://verify-now.co/c2dnrnhr7x,sms,1,4,vi: sim will be deactivated today due to kyc pending. update: URL
Double money in 30 days. Join investment group: https://customs-clearance.in/duwz0eia0x,sms,1,3,double money in 30 days. join investment group: URL
"Hi Mom, new number. Emergency. Send ₹1500 to UPI hsmoyl@okicici. Don't call.",sms,1,5,"hi mom, new number. emergency. send ₹ OTP to upi hsmoyl@okicici. don't call."
Work-from-home job ₹499/month. Pay training fee ₹199. Details:,sms,1,3,work-from-home job ₹499/month. pay training fee ₹199. details:
Winner selected. Verify details at https://t.co/6RGkhif to claim.,sms,1,3,winner selected. verify details at URL to claim.
Your SIM re-verification failed. Share OTP to re-activate.,sms,1,4,your sim re-verification failed. share otp to re-activate.
ALERT: Axis KYC pending. Update now to avoid account freeze: https://bank-kycverify.com/jgawlakird,sms,1,4,alert: axis kyc pending. update now to avoid account freeze: URL
"Hi, I’ll reach by 10:00 AM. See you soon.",sms,0,1,"hi, i’ll reach by 10:00 am. see you soon."
Kotak: Suspicious UPI collect request detected. Call karo +91-73712-16251 to confirm.,sms,1,3,kotak: suspicious upi collect request detected. call karo +91- OTP - OTP to confirm.
Prize release requires processing fee ₹49. Pay via UPI acfqnq@ybl.,sms,1,4,prize release requires processing fee ₹49. pay via upi acfqnq@ybl.
